0 6.0105 6.0105
0 0 1
0 0.0032892 0.0032892
0.1 -0.0020811 -0.0020811
0.2 -0.0063668 -0.0063668
0.3 -0.0096419 -0.0096419
0.4 -0.011981 -0.011981
0.5 -0.013501 -0.013501
0.6 -0.014435 -0.014435
0.7 -0.01502 -0.01502
0.8 -0.01584 -0.01584
0.9 -0.016423 -0.016423
1 -0.016304 -0.016304
1.1 -0.015716 -0.015716
1.2 -0.013722 -0.013722
1.3 -0.010911 -0.010911
1.4 -0.0073964 -0.0073964
1.5 -0.0022369 -0.0022369
1.6 0.0052613 0.0052613
1.7 0.013684 0.013684
1.8 0.020213 0.020213
1.9 0.022768 0.022768
2 0.024052 0.024052
2.1 0.024391 0.024391
2.2 0.021903 0.021903
2.3 0.015329 0.015329
2.4 0.0082023 0.0082023
2.5 0.0029542 0.0029542
2.6 -0.0009005 -0.0009005
2.7 -0.0047675 -0.0047675
2.8 -0.0092118 -0.0092118
2.9 -0.01247 -0.01247
3 -0.013975 -0.013975
3.1 -0.014437 -0.014437
3.2 -0.014792 -0.014792
3.3 -0.015732 -0.015732
3.4 -0.016427 -0.016427
3.5 -0.01654 -0.01654
3.6 -0.016416 -0.016416
3.7 -0.015227 -0.015227
3.8 -0.012276 -0.012276
3.9 -0.0075809 -0.0075809
4 -0.0023094 -0.0023094
4.1 0.0036701 0.0036701
4.2 0.010586 0.010586
4.3 0.01771 0.01771
4.4 0.022812 0.022812
4.5 0.024638 0.024638
4.6 0.024259 0.024259
4.7 0.021752 0.021752
4.8 0.01598 0.01598
4.9 0.0096785 0.0096785
5 0.0047841 0.0047841
5.1 9.4418e-05 9.4418e-05
5.2 -0.0051711 -0.0051711
5.3 -0.009589 -0.009589
5.4 -0.012123 -0.012123
5.5 -0.012924 -0.012924
5.6 -0.013759 -0.013759
5.7 -0.0154 -0.0154
5.8 -0.016436 -0.016436
5.9 -0.016773 -0.016773
6 -0.016656 -0.016656
6.1 -0.016526 -0.016526
6.2 -0.015215 -0.015215
6.3 -0.012964 -0.012964
6.4 -0.0091927 -0.0091927
6.5 -0.0044864 -0.0044864
6.6 0.0017509 0.0017509
6.7 0.0091338 0.0091338
6.8 0.015998 0.015998
6.9 0.020875 0.020875
7 0.024075 0.024075
7.1 0.023423 0.023423
7.2 0.021518 0.021518
7.3 0.017229 0.017229
7.4 0.010661 0.010661
7.5 0.0049614 0.0049614
7.6 -6.9347e-05 -6.9347e-05
7.7 -0.0050814 -0.0050814
7.8 -0.0086654 -0.0086654
7.9 -0.011103 -0.011103
8 -0.013205 -0.013205
8.1 -0.015062 -0.015062
8.2 -0.016088 -0.016088
8.3 -0.016305 -0.016305
8.4 -0.016437 -0.016437
8.5 -0.017269 -0.017269
8.6 -0.017696 -0.017696
8.7 -0.016237 -0.016237
8.8 -0.013649 -0.013649
8.9 -0.010825 -0.010825
9 -0.0067929 -0.0067929
9.1 -0.00075632 -0.00075632
9.2 0.0069892 0.0069892
9.3 0.013937 0.013937
9.4 0.018447 0.018447
9.5 0.022159 0.022159
9.6 0.023551 0.023551
9.7 0.020879 0.020879
9.8 0.016873 0.016873
9.9 0.0118 0.0118
10 0.0059524 0.0059524
10.1 0.00083456 0.00083456
10.2 -0.0035848 -0.0035848
10.3 -0.0073139 -0.0073139
10.4 -0.010811 -0.010811
10.5 -0.013449 -0.013449
10.6 -0.014582 -0.014582
10.7 -0.0154 -0.0154
10.8 -0.016222 -0.016222
10.9 -0.01716 -0.01716
11 -0.017835 -0.017835
11.1 -0.017437 -0.017437
11.2 -0.016001 -0.016001
11.3 -0.014128 -0.014128
11.4 -0.01211 -0.01211
11.5 -0.0083817 -0.0083817
11.6 -0.0020997 -0.0020997
11.7 0.0048969 0.0048969
11.8 0.010968 0.010968
11.9 0.017014 0.017014
12 0.021012 0.021012
12.1 0.022779 0.022779
12.2 0.021846 0.021846
12.3 0.01834 0.01834
12.4 0.012673 0.012673
12.5 0.0070976 0.0070976
12.6 0.0024373 0.0024373
12.7 -0.0023776 -0.0023776
12.8 -0.007136 -0.007136
12.9 -0.010332 -0.010332
13 -0.012298 -0.012298
